"","year","place","score","show","corps","avg_date","diff"
"1",2010,4,95.95,"A Second Chance","Carolina Crown",1937.2,72.8
"2",2011,4,95.3,"Rach Star  ","Carolina Crown",1962.1,48.9000000000001
"3",2012,2,97.65,"For the Common Good","Carolina Crown",1963.66666666667,48.3333333333333
"4",2013,1,98.3,"E=mc2  ","Carolina Crown",1983.71428571429,29.2857142857142
"5",2014,5,95.675,"Out of this World","Carolina Crown",1995.28571428571,18.7142857142858
"6",2015,2,97.075,"Inferno","Carolina Crown",1919,96
"7",2016,3,97.088,"Relentless","Carolina Crown",1982.625,33.375
"8",2017,3,96.575,"IT IS","Carolina Crown",1932.42857142857,84.5714285714287
"9",2018,4,95.5,"Beast  ","Carolina Crown",1986.85714285714,31.1428571428571
"10",2019,4,96.563,"Beneath the Surface","Carolina Crown",2008.25,10.75
