"","year","place","score","show","corps","avg_date","diff"
"1",2010,11,87.1,"Europa","Blue Knights",1888.25,121.75
"2",2011,9,89.2,"An English Folk Song Suite","Blue Knights",1920,91
"3",2012,10,86.7,"Avian ","Blue Knights",1911,101
"4",2013,10,87.75,"NoBeginningNoEnd  ","Blue Knights",1990.25,22.75
"5",2014,8,91.15,"That One Second ","Blue Knights",2005,9
"6",2015,6,91.85,"Because","Blue Knights",2003.2,11.8
"7",2016,7,90.738,"The Great Event  ","Blue Knights",2000.75,15.25
"8",2017,8,90.4,"i","Blue Knights",2003.5,13.5
"9",2018,9,88.925,"The Fall and Rise","Blue Knights",1967.4,50.5999999999999
"10",2019,7,92.05,"...I Remember Everything","Blue Knights",2007,12
