"","year","place","score","show","corps","avg_date","diff"
"1",2010,6,93.15,"Into the Light ","Phantom Regiment",2000,10
"2",2011,5,95.05,"Juliet ","Phantom Regiment",1884.4,126.6
"3",2012,3,96.55,"Turandot","Phantom Regiment",1926,86
"4",2013,6,93.25,"Triumphant Journey ","Phantom Regiment",1952,61
"5",2014,7,91.425,"Swan Lake ","Phantom Regiment",1958.8,55.2
"6",2015,7,90.325,"City of Light  ","Phantom Regiment",1926.5,88.5
"7",2016,8,89.963,"Voice of Promise ","Phantom Regiment",1979.5,36.5
"8",2017,9,88.125,"Phantasm  ","Phantom Regiment",1938.4,78.5999999999999
"9",2018,11,86.95,"This New World ","Phantom Regiment",1963.2,54.8
"10",2019,12,87.238,"I Am Joan","Phantom Regiment",1983.57142857143,35.4285714285713
