"","year","place","score","show","corps","avg_date","diff"
"1",2010,3,96.4,"Metropolis: The Future is Now","Bluecoats",2009.25,0.75
"2",2011,7,92.05,"Brave New World ","Bluecoats",2002.66666666667,8.33333333333326
"3",2012,6,92.55,"UnMasQued","Bluecoats",2001.57142857143,10.4285714285713
"4",2013,5,93.35,"...to look for America ","Bluecoats",1970.5,42.5
"5",2014,2,97.175,"Tilt","Bluecoats",2009.75,4.25
"6",2015,3,96.925,"Kinetic Noise","Bluecoats",1995.33333333333,19.6666666666667
"7",2016,1,97.65,"Down Side Up","Bluecoats",2002.28571428571,13.7142857142858
"8",2017,5,95.163,"Jagged Line","Bluecoats",2003.8,13.2
"9",2018,3,96.95,"Session 44","Bluecoats",1987.83333333333,30.1666666666667
"10",2019,2,98.238,"The Bluecoats","Bluecoats",1967,52
